"Floor Space Completed, Accumulated(10000 sq.m)",Province,Date,Building Type,"Floor Space Sold, Accumulated(10000 sq.m)",Floor Space Completed (10000 sq.m),Floor Space Sold(10000 sq.m),Proportion
25.17,Qinghai,2020/11,Commercialized Residential Buildings Sold,373.45,2.36,41.98,0.056217246
35.94,Qinghai,2020/12,Commercialized Residential Buildings Sold,420.64,10.77,47.19,0.228226319
,Qinghai,2021/01,Commercialized Residential Buildings Sold,,,,
2.2,Qinghai,2021/02,Commercialized Residential Buildings Sold,31.2,,,
2.76,Qinghai,2021/03,Commercialized Residential Buildings Sold,47.9,0.56,16.7,0.033532934
8.27,Qinghai,2021/04,Commercialized Residential Buildings Sold,79.79,5.51,31.89,0.172781436
12.11,Qinghai,2021/05,Commercialized Residential Buildings Sold,116.87,3.84,37.08,0.103559871
13.18,Qinghai,2021/06,Commercialized Residential Buildings Sold,156.75,1.07,39.88,0.026830491
14.37,Qinghai,2021/07,Commercialized Residential Buildings Sold,175.37,1.19,18.62,0.063909774
15.46,Qinghai,2021/08,Commercialized Residential Buildings Sold,213.27,1.09,37.9,0.028759894
16.42,Qinghai,2021/09,Commercialized Residential Buildings Sold,240.61,0.96,27.34,0.035113387
16.66,Qinghai,2021/10,Commercialized Residential Buildings Sold,270.39,0.24,29.78,0.0080591
19.48,Qinghai,2021/11,Commercialized Residential Buildings Sold,288.88,2.82,18.49,0.152514873
24.44,Qinghai,2021/12,Commercialized Residential Buildings Sold,329.06,4.96,40.18,0.1234445
,Qinghai,2022/01,Commercialized Residential Buildings Sold,,,,
0.59,Qinghai,2022/02,Commercialized Residential Buildings Sold,28.48,,,
1.57,Qinghai,2022/03,Commercialized Residential Buildings Sold,39.02,0.98,10.54,0.092979127
2.08,Qinghai,2022/04,Commercialized Residential Buildings Sold,46.8,0.51,7.78,0.065552699
3.39,Qinghai,2022/05,Commercialized Residential Buildings Sold,70.67,1.31,23.87,0.054880603
4.73,Qinghai,2022/06,Commercialized Residential Buildings Sold,109.9,1.34,39.23,0.034157533
5.98,Qinghai,2022/07,Commercialized Residential Buildings Sold,130.61,1.25,20.71,0.060357315
6.58,Qinghai,2022/08,Commercialized Residential Buildings Sold,146.26,0.6,15.65,0.038338658
26.44,Shaanxi,2020/02,Commercialized Buildings Sold,202.44,,,
47.64,Shaanxi,2020/03,Commercialized Buildings Sold,488.76,21.2,286.32,0.074043029
85.42,Shaanxi,2020/04,Commercialized Buildings Sold,773.19,37.78,284.43,0.132827058
118.07,Shaanxi,2020/05,Commercialized Buildings Sold,1163.02,32.65,389.83,0.083754457
173.5,Shaanxi,2020/06,Commercialized Buildings Sold,1721.8,55.43,558.78,0.099198253
198.64,Shaanxi,2020/07,Commercialized Buildings Sold,2058.44,25.14,336.64,0.074679183
228.07,Shaanxi,2020/08,Commercialized Buildings Sold,2453.96,29.43,395.52,0.074408374
271.21,Shaanxi,2020/09,Commercialized Buildings Sold,2977.23,43.14,523.27,0.082443098
302.36,Shaanxi,2020/10,Commercialized Buildings Sold,3356.23,31.15,379,0.082189974
346.89,Shaanxi,2020/11,Commercialized Buildings Sold,3849.48,44.53,493.25,0.090278763
396.57,Shaanxi,2020/12,Commercialized Buildings Sold,4452.07,49.68,602.59,0.082444116
,Shaanxi,2021/01,Commercialized Buildings Sold,,,,
21.86,Shaanxi,2021/02,Commercialized Buildings Sold,384.41,,,
46.67,Shaanxi,2021/03,Commercialized Buildings Sold,751.01,24.81,366.6,0.067675941
62.76,Shaanxi,2021/04,Commercialized Buildings Sold,972.71,16.09,221.7,0.072575553
76.04,Shaanxi,2021/05,Commercialized Buildings Sold,1305.28,13.28,332.57,0.039931443
135.31,Shaanxi,2021/06,Commercialized Buildings Sold,1745.52,59.27,440.24,0.13463111
162.25,Shaanxi,2021/07,Commercialized Buildings Sold,2109.42,26.94,363.9,0.074031327
175.95,Shaanxi,2021/08,Commercialized Buildings Sold,2448.26,13.7,338.84,0.040432062
204.24,Shaanxi,2021/09,Commercialized Buildings Sold,2775.65,28.29,327.39,0.086410703
215.16,Shaanxi,2021/10,Commercialized Buildings Sold,3038.24,10.92,262.59,0.041585742
264.77,Shaanxi,2021/11,Commercialized Buildings Sold,3823.42,49.61,785.18,0.063182964
296.85,Shaanxi,2021/12,Commercialized Buildings Sold,4260.06,32.08,436.64,0.073470136
,Shaanxi,2022/01,Commercialized Buildings Sold,,,,
39.11,Shaanxi,2022/02,Commercialized Buildings Sold,338.89,,,
65.14,Shaanxi,2022/03,Commercialized Buildings Sold,689.33,26.03,350.44,0.07427805
80.93,Shaanxi,2022/04,Commercialized Buildings Sold,857.95,15.79,168.62,0.09364251
108.91,Shaanxi,2022/05,Commercialized Buildings Sold,1096.21,27.98,238.26,0.117434735
169.14,Shaanxi,2022/06,Commercialized Buildings Sold,1518.94,60.23,422.73,0.142478651
185.61,Shaanxi,2022/07,Commercialized Buildings Sold,1739.51,16.47,220.57,0.074670173
219.77,Shaanxi,2022/08,Commercialized Buildings Sold,2011.3,34.16,271.79,0.125685272
20.13,Shaanxi,2020/02,Commercialized Residential Buildings Sold,174.35,,,
34.84,Shaanxi,2020/03,Commercialized Residential Buildings Sold,418.04,14.71,243.69,0.060363577
63.8,Shaanxi,2020/04,Commercialized Residential Buildings Sold,665.67,28.96,247.63,0.116948673
83.15,Shaanxi,2020/05,Commercialized Residential Buildings Sold,996.74,19.35,331.07,0.058446854
118.77,Shaanxi,2020/06,Commercialized Residential Buildings Sold,1482.65,35.62,485.91,0.073305756
139.6,Shaanxi,2020/07,Commercialized Residential Buildings Sold,1793.48,20.83,310.83,0.067014123
163.67,Shaanxi,2020/08,Commercialized Residential Buildings Sold,2153.48,24.07,360,0.066861111
199.4,Shaanxi,2020/09,Commercialized Residential Buildings Sold,2597.4,35.73,443.92,0.080487475
224.26,Shaanxi,2020/10,Commercialized Residential Buildings Sold,2948.4,24.86,351,0.070826211
262.07,Shaanxi,2020/11,Commercialized Residential Buildings Sold,3385.22,37.81,436.82,0.086557392
297.13,Shaanxi,2020/12,Commercialized Residential Buildings Sold,3902.4,35.06,517.18,0.067790711
,Shaanxi,2021/01,Commercialized Residential Buildings Sold,,,,
17.56,Shaanxi,2021/02,Commercialized Residential Buildings Sold,343.44,,,
28.73,Shaanxi,2021/03,Commercialized Residential Buildings Sold,657.54,11.17,314.1,0.035561923
41.93,Shaanxi,2021/04,Commercialized Residential Buildings Sold,859.3,13.2,201.76,0.065424266
51.78,Shaanxi,2021/05,Commercialized Residential Buildings Sold,1170.17,9.85,310.87,0.03168527
106.61,Shaanxi,2021/06,Commercialized Residential Buildings Sold,1573.85,54.83,403.68,0.135825406
127.13,Shaanxi,2021/07,Commercialized Residential Buildings Sold,1911.3,20.52,337.45,0.060809009
139.48,Shaanxi,2021/08,Commercialized Residential Buildings Sold,2216.64,12.35,305.34,0.040446715
163.65,Shaanxi,2021/09,Commercialized Residential Buildings Sold,2520.21,24.17,303.57,0.079619198
173.69,Shaanxi,2021/10,Commercialized Residential Buildings Sold,2758.95,10.04,238.74,0.042054117
213.09,Shaanxi,2021/11,Commercialized Residential Buildings Sold,3502.55,39.4,743.6,0.052985476
233.1,Shaanxi,2021/12,Commercialized Residential Buildings Sold,3886.63,20.01,384.08,0.052098521
,Shaanxi,2022/01,Commercialized Residential Buildings Sold,,,,
27.95,Shaanxi,2022/02,Commercialized Residential Buildings Sold,313.56,,,
48.77,Shaanxi,2022/03,Commercialized Residential Buildings Sold,602.37,20.82,288.81,0.072088917
60.4,Shaanxi,2022/04,Commercialized Residential Buildings Sold,754.4,11.63,152.03,0.07649806
82.4,Shaanxi,2022/05,Commercialized Residential Buildings Sold,967.6,22,213.2,0.103189493
135.06,Shaanxi,2022/06,Commercialized Residential Buildings Sold,1356.36,52.66,388.76,0.135456323
148.39,Shaanxi,2022/07,Commercialized Residential Buildings Sold,1560.42,13.33,204.06,0.065323924
177.63,Shaanxi,2022/08,Commercialized Residential Buildings Sold,1799.49,29.24,239.07,0.122307274
55.75,Shandong,2020/02,Commercialized Buildings Sold,571.69,,,
154.61,Shandong,2020/03,Commercialized Buildings Sold,1569.47,98.86,997.78,0.099079958
226.3,Shandong,2020/04,Commercialized Buildings Sold,2543.59,71.69,974.12,0.073594629
310.17,Shandong,2020/05,Commercialized Buildings Sold,3690.57,83.87,1146.98,0.073122461
457.86,Shandong,2020/06,Commercialized Buildings Sold,5246.85,147.69,1556.28,0.094899375
548.68,Shandong,2020/07,Commercialized Buildings Sold,6322.72,90.82,1075.87,0.084415403
637.5,Shandong,2020/08,Commercialized Buildings Sold,7476.43,88.82,1153.71,0.076986418
756.85,Shandong,2020/09,Commercialized Buildings Sold,8969.08,119.35,1492.65,0.079958463
857,Shandong,2020/10,Commercialized Buildings Sold,10209.71,100.15,1240.63,0.080725115
984.21,Shandong,2020/11,Commercialized Buildings Sold,11488.45,127.21,1278.74,0.099480739
1148.19,Shandong,2020/12,Commercialized Buildings Sold,13271.74,163.98,1783.29,0.091953636
,Shandong,2021/01,Commercialized Buildings Sold,,,,
83.57,Shandong,2021/02,Commercialized Buildings Sold,1021.08,,,
193.39,Shandong,2021/03,Commercialized Buildings Sold,2526.4,109.82,1505.32,0.072954588
281.81,Shandong,2021/04,Commercialized Buildings Sold,3735.8,88.42,1209.4,0.073110633
386.13,Shandong,2021/05,Commercialized Buildings Sold,5020.62,104.32,1284.82,0.081194253
608.59,Shandong,2021/06,Commercialized Buildings Sold,7018.08,222.46,1997.46,0.111371442
698.66,Shandong,2021/07,Commercialized Buildings Sold,8110.96,90.07,1092.88,0.08241527
796.52,Shandong,2021/08,Commercialized Buildings Sold,9182.87,97.86,1071.91,0.091294978
1010.12,Shandong,2021/09,Commercialized Buildings Sold,10814.74,213.6,1631.87,0.130892779
1086.99,Shandong,2021/10,Commercialized Buildings Sold,11699.79,76.87,885.05,0.08685385
1218.13,Shandong,2021/11,Commercialized Buildings Sold,12755.14,131.14,1055.35,0.124262093
1438.99,Shandong,2021/12,Commercialized Buildings Sold,14272.85,220.86,1517.71,0.145521872
,Shandong,2022/01,Commercialized Buildings Sold,,,,
151.03,Shandong,2022/02,Commercialized Buildings Sold,1092.11,,,
321.29,Shandong,2022/03,Commercialized Buildings Sold,2359.32,170.26,1267.21,0.134358157
441.97,Shandong,2022/04,Commercialized Buildings Sold,3115.6,120.68,756.28,0.159570529
614.72,Shandong,2022/05,Commercialized Buildings Sold,4160.75,172.75,1045.15,0.165287279
918.04,Shandong,2022/06,Commercialized Buildings Sold,5878.41,303.32,1717.66,0.17658908
1059.27,Shandong,2022/07,Commercialized Buildings Sold,6706.58,141.23,828.17,0.17053262
1186.31,Shandong,2022/08,Commercialized Buildings Sold,7588.66,127.04,882.08,0.144023218
46.16,Shandong,2020/02,Commercialized Residential Buildings Sold,506.93,,,
125.68,Shandong,2020/03,Commercialized Residential Buildings Sold,1402.05,79.52,895.12,0.088837251
184.88,Shandong,2020/04,Commercialized Residential Buildings Sold,2302.19,59.2,900.14,0.065767547
251.39,Shandong,2020/05,Commercialized Residential Buildings Sold,3315.05,66.51,1012.86,0.065665541
374.57,Shandong,2020/06,Commercialized Residential Buildings Sold,4691.08,123.18,1376.03,0.089518397
448.01,Shandong,2020/07,Commercialized Residential Buildings Sold,5686.8,73.44,995.72,0.073755674
524.81,Shandong,2020/08,Commercialized Residential Buildings Sold,6749.14,76.8,1062.34,0.072293239
620.07,Shandong,2020/09,Commercialized Residential Buildings Sold,8103.15,95.26,1354.01,0.070353986
700,Shandong,2020/10,Commercialized Residential Buildings Sold,9234.83,79.93,1131.68,0.070629507
793.79,Shandong,2020/11,Commercialized Residential Buildings Sold,10370.66,93.79,1135.83,0.082573977
918.05,Shandong,2020/12,Commercialized Residential Buildings Sold,11904.74,124.26,1534.08,0.080999687
,Shandong,2021/01,Commercialized Residential Buildings Sold,,,,
67.8,Shandong,2021/02,Commercialized Residential Buildings Sold,932.61,,,
160.88,Shandong,2021/03,Commercialized Residential Buildings Sold,2310.53,93.08,1377.92,0.067551092
235.95,Shandong,2021/04,Commercialized Residential Buildings Sold,3427.25,75.07,1116.72,0.067223655
318.92,Shandong,2021/05,Commercialized Residential Buildings Sold,4599.78,82.97,1172.53,0.070761516
501.14,Shandong,2021/06,Commercialized Residential Buildings Sold,6347.19,182.22,1747.41,0.104280049
569.43,Shandong,2021/07,Commercialized Residential Buildings Sold,7329.29,68.29,982.1,0.069534671
643.76,Shandong,2021/08,Commercialized Residential Buildings Sold,8297.76,74.33,968.47,0.076749925
808.96,Shandong,2021/09,Commercialized Residential Buildings Sold,9700.23,165.2,1402.47,0.117792181
873.26,Shandong,2021/10,Commercialized Residential Buildings Sold,10480.93,64.3,780.7,0.082361983
968.37,Shandong,2021/11,Commercialized Residential Buildings Sold,11391.52,95.11,910.59,0.104448764
1116.44,Shandong,2021/12,Commercialized Residential Buildings Sold,12632.05,148.07,1240.53,0.119360273
,Shandong,2022/01,Commercialized Residential Buildings Sold,,,,
115.77,Shandong,2022/02,Commercialized Residential Buildings Sold,964.06,,,
242.04,Shandong,2022/03,Commercialized Residential Buildings Sold,2037.89,126.27,1073.83,0.117588445
329.52,Shandong,2022/04,Commercialized Residential Buildings Sold,2677.38,87.48,639.49,0.13679651
451.7,Shandong,2022/05,Commercialized Residential Buildings Sold,3540.72,122.18,863.34,0.141520143
675.57,Shandong,2022/06,Commercialized Residential Buildings Sold,4947.18,223.87,1406.46,0.159172675
780.68,Shandong,2022/07,Commercialized Residential Buildings Sold,5665.57,105.11,718.39,0.146313284
879.43,Shandong,2022/08,Commercialized Residential Buildings Sold,6454.06,98.75,788.49,0.125239382
71.47,Shanghai,2020/02,Commercialized Buildings Sold,120.47,,,
107.15,Shanghai,2020/03,Commercialized Buildings Sold,230.38,35.68,109.91,0.324629242
142.61,Shanghai,2020/04,Commercialized Buildings Sold,346.92,35.46,116.54,0.304273211
176.98,Shanghai,2020/05,Commercialized Buildings Sold,434.8,34.37,87.88,0.391101502
255.87,Shanghai,2020/06,Commercialized Buildings Sold,644.43,78.89,209.63,0.376329724
349.18,Shanghai,2020/07,Commercialized Buildings Sold,800.13,93.31,155.7,0.599293513
390.65,Shanghai,2020/08,Commercialized Buildings Sold,935.64,41.47,135.51,0.306029075
469.73,Shanghai,2020/09,Commercialized Buildings Sold,1131.8,79.08,196.16,0.403140294
593.9,Shanghai,2020/10,Commercialized Buildings Sold,1374.08,124.17,242.28,0.512506191
623.5,Shanghai,2020/11,Commercialized Buildings Sold,1515.41,29.6,141.33,0.209438902
743.6,Shanghai,2020/12,Commercialized Buildings Sold,1789.16,120.1,273.75,0.438721461
,Shanghai,2021/01,Commercialized Buildings Sold,,,,
68.39,Shanghai,2021/02,Commercialized Buildings Sold,235.99,,,
161.46,Shanghai,2021/03,Commercialized Buildings Sold,396.27,93.07,160.28,0.580671325
215.2,Shanghai,2021/04,Commercialized Buildings Sold,513.31,53.74,117.04,0.459159262
249.39,Shanghai,2021/05,Commercialized Buildings Sold,599.8,34.19,86.49,0.395305816
330.48,Shanghai,2021/06,Commercialized Buildings Sold,832.83,81.09,233.03,0.347980947
406.05,Shanghai,2021/07,Commercialized Buildings Sold,975.97,75.57,143.14,0.52794467
439.56,Shanghai,2021/08,Commercialized Buildings Sold,1093.3,33.51,117.33,0.285604705
526.64,Shanghai,2021/09,Commercialized Buildings Sold,1291.01,87.08,197.71,0.440443073
621.22,Shanghai,2021/10,Commercialized Buildings Sold,1470.71,94.58,179.7,0.526321647
635.72,Shanghai,2021/11,Commercialized Buildings Sold,1589.86,14.5,119.15,0.121695342
715.52,Shanghai,2021/12,Commercialized Buildings Sold,1880.45,79.8,290.59,0.274613717
,Shanghai,2022/01,Commercialized Buildings Sold,,,,
103.76,Shanghai,2022/02,Commercialized Buildings Sold,269.07,,,
145.04,Shanghai,2022/03,Commercialized Buildings Sold,412.17,41.28,143.1,0.288469602
145.54,Shanghai,2022/04,Commercialized Buildings Sold,425.94,0.5,13.77,0.036310821
163.53,Shanghai,2022/05,Commercialized Buildings Sold,461.66,17.99,35.72,0.503639418
228.32,Shanghai,2022/06,Commercialized Buildings Sold,637.91,64.79,176.25,0.367602837
261.35,Shanghai,2022/07,Commercialized Buildings Sold,819.93,33.03,182.02,0.181463575
328.06,Shanghai,2022/08,Commercialized Buildings Sold,982.77,66.71,162.84,0.40966593
54,Shanghai,2020/02,Commercialized Residential Buildings Sold,101.02,,,
79.43,Shanghai,2020/03,Commercialized Residential Buildings Sold,192.87,25.43,91.85,0.276864453
98.72,Shanghai,2020/04,Commercialized Residential Buildings Sold,291.38,19.29,98.51,0.195817683
122.45,Shanghai,2020/05,Commercialized Residential Buildings Sold,366.61,23.73,75.23,0.315432673
180.05,Shanghai,2020/06,Commercialized Residential Buildings Sold,543.19,57.6,176.58,0.326197757
254.6,Shanghai,2020/07,Commercialized Residential Buildings Sold,675.48,74.55,132.29,0.563534659
281.37,Shanghai,2020/08,Commercialized Residential Buildings Sold,781.16,26.77,105.68,0.253311885
311.23,Shanghai,2020/09,Commercialized Residential Buildings Sold,915.29,29.86,134.13,0.222619846
420.36,Shanghai,2020/10,Commercialized Residential Buildings Sold,1134.15,109.13,218.86,0.498629261
432.15,Shanghai,2020/11,Commercialized Residential Buildings Sold,1255.39,11.79,121.24,0.097245134
484.03,Shanghai,2020/12,Commercialized Residential Buildings Sold,1434.07,51.88,178.68,0.290351466
,Shanghai,2021/01,Commercialized Residential Buildings Sold,,,,
38.55,Shanghai,2021/02,Commercialized Residential Buildings Sold,195.57,,,
94.61,Shanghai,2021/03,Commercialized Residential Buildings Sold,315.27,56.06,119.7,0.46833751
122.59,Shanghai,2021/04,Commercialized Residential Buildings Sold,400.69,27.98,85.42,0.327557949
137.36,Shanghai,2021/05,Commercialized Residential Buildings Sold,461.08,14.77,60.39,0.244576917
197.78,Shanghai,2021/06,Commercialized Residential Buildings Sold,667.94,60.42,206.86,0.292081601
240.78,Shanghai,2021/07,Commercialized Residential Buildings Sold,775.65,43,107.71,0.399220128
255.74,Shanghai,2021/08,Commercialized Residential Buildings Sold,871.94,14.96,96.29,0.155364005
332.02,Shanghai,2021/09,Commercialized Residential Buildings Sold,1052.62,76.28,180.68,0.422182865
362.47,Shanghai,2021/10,Commercialized Residential Buildings Sold,1161.23,30.45,108.61,0.280360924
354.64,Shanghai,2021/11,Commercialized Residential Buildings Sold,1248.74,,87.51,
391.75,Shanghai,2021/12,Commercialized Residential Buildings Sold,1489.95,37.11,241.21,0.153849343
,Shanghai,2022/01,Commercialized Residential Buildings Sold,,,,
72.32,Shanghai,2022/02,Commercialized Residential Buildings Sold,232.08,,,
91.7,Shanghai,2022/03,Commercialized Residential Buildings Sold,348.14,19.38,116.06,0.166982595
91.89,Shanghai,2022/04,Commercialized Residential Buildings Sold,361,0.19,12.86,0.014774495
92.58,Shanghai,2022/05,Commercialized Residential Buildings Sold,377.15,0.69,16.15,0.042724458
143.15,Shanghai,2022/06,Commercialized Residential Buildings Sold,535.8,50.57,158.65,0.31875197
159.98,Shanghai,2022/07,Commercialized Residential Buildings Sold,697.58,16.83,161.78,0.104030164
194.56,Shanghai,2022/08,Commercialized Residential Buildings Sold,823.78,34.58,126.2,0.274009509
9.87,Shanxi,2020/02,Commercialized Buildings Sold,68.1,,,
29.14,Shanxi,2020/03,Commercialized Buildings Sold,245.13,19.27,177.03,0.108851607
56.85,Shanxi,2020/04,Commercialized Buildings Sold,399.24,27.71,154.11,0.179806632
81.4,Shanxi,2020/05,Commercialized Buildings Sold,592.26,24.55,193.02,0.127188892
112.35,Shanxi,2020/06,Commercialized Buildings Sold,867.72,30.95,275.46,0.112357511
142.68,Shanxi,2020/07,Commercialized Buildings Sold,1092.29,30.33,224.57,0.135058111
175.06,Shanxi,2020/08,Commercialized Buildings Sold,1314.08,32.38,221.79,0.145993958
208.11,Shanxi,2020/09,Commercialized Buildings Sold,1591.02,33.05,276.94,0.119339929
244.87,Shanxi,2020/10,Commercialized Buildings Sold,1896.4,36.76,305.38,0.120374615
262.18,Shanxi,2020/11,Commercialized Buildings Sold,2212.73,17.31,316.33,0.054721335
243.11,Shanxi,2020/12,Commercialized Buildings Sold,2685.29,,472.56,
,Shanxi,2021/01,Commercialized Buildings Sold,,,,
11.17,Shanxi,2021/02,Commercialized Buildings Sold,141.5,,,
35.35,Shanxi,2021/03,Commercialized Buildings Sold,446.61,24.18,305.11,0.079250107
52.66,Shanxi,2021/04,Commercialized Buildings Sold,715.72,17.31,269.11,0.064323139
76.17,Shanxi,2021/05,Commercialized Buildings Sold,968.3,23.51,252.58,0.09307942
112.73,Shanxi,2021/06,Commercialized Buildings Sold,1369.47,36.56,401.17,0.091133435
137.58,Shanxi,2021/07,Commercialized Buildings Sold,1669.42,24.85,299.95,0.082847141
156.24,Shanxi,2021/08,Commercialized Buildings Sold,1919.78,18.66,250.36,0.074532673
183.34,Shanxi,2021/09,Commercialized Buildings Sold,2265.1,27.1,345.32,0.078477934
193.63,Shanxi,2021/10,Commercialized Buildings Sold,2472.11,10.29,207.01,0.049707744
225.45,Shanxi,2021/11,Commercialized Buildings Sold,2771.68,31.82,299.57,0.106218914
278.54,Shanxi,2021/12,Commercialized Buildings Sold,3204.41,53.09,432.73,0.122686202
,Shanxi,2022/01,Commercialized Buildings Sold,,,,
12.67,Shanxi,2022/02,Commercialized Buildings Sold,140.19,,,
38.48,Shanxi,2022/03,Commercialized Buildings Sold,366.41,25.81,226.22,0.114092476
56.88,Shanxi,2022/04,Commercialized Buildings Sold,527.29,18.4,160.88,0.11437096
76.68,Shanxi,2022/05,Commercialized Buildings Sold,712.05,19.8,184.76,0.107166053
93.89,Shanxi,2022/06,Commercialized Buildings Sold,1001.73,17.21,289.68,0.059410384
122.83,Shanxi,2022/07,Commercialized Buildings Sold,1205.9,28.94,204.17,0.141744625
142.96,Shanxi,2022/08,Commercialized Buildings Sold,1397.3,20.13,191.4,0.105172414
8.64,Shanxi,2020/02,Commercialized Residential Buildings Sold,64.66,,,
25.28,Shanxi,2020/03,Commercialized Residential Buildings Sold,233.05,16.64,168.39,0.09881822
50.27,Shanxi,2020/04,Commercialized Residential Buildings Sold,379.92,24.99,146.87,0.170150473
72.32,Shanxi,2020/05,Commercialized Residential Buildings Sold,564.59,22.05,184.67,0.119402177
99.94,Shanxi,2020/06,Commercialized Residential Buildings Sold,822.3,27.62,257.71,0.107174731
127.04,Shanxi,2020/07,Commercialized Residential Buildings Sold,1035.29,27.1,212.99,0.12723602
155.87,Shanxi,2020/08,Commercialized Residential Buildings Sold,1247.77,28.83,212.48,0.135683358
187.26,Shanxi,2020/09,Commercialized Residential Buildings Sold,1514.63,31.39,266.86,0.11762722
220.01,Shanxi,2020/10,Commercialized Residential Buildings Sold,1800.72,32.75,286.09,0.114474466
234.76,Shanxi,2020/11,Commercialized Residential Buildings Sold,2101.19,14.75,300.47,0.049089759
215.54,Shanxi,2020/12,Commercialized Residential Buildings Sold,2549.49,,448.3,
,Shanxi,2021/01,Commercialized Residential Buildings Sold,,,,
10.26,Shanxi,2021/02,Commercialized Residential Buildings Sold,133.42,,,
31.77,Shanxi,2021/03,Commercialized Residential Buildings Sold,422.86,21.51,289.44,0.07431592
46.23,Shanxi,2021/04,Commercialized Residential Buildings Sold,680.15,14.46,257.29,0.056201174
65.6,Shanxi,2021/05,Commercialized Residential Buildings Sold,914.94,19.37,234.79,0.082499255
98.75,Shanxi,2021/06,Commercialized Residential Buildings Sold,1293.15,33.15,378.21,0.087649718
120.36,Shanxi,2021/07,Commercialized Residential Buildings Sold,1577.16,21.61,284.01,0.07608887
137.74,Shanxi,2021/08,Commercialized Residential Buildings Sold,1816.61,17.38,239.45,0.072583003
163.93,Shanxi,2021/09,Commercialized Residential Buildings Sold,2153.19,26.19,336.58,0.07781211
172.58,Shanxi,2021/10,Commercialized Residential Buildings Sold,2350.5,8.65,197.31,0.043839643
201.77,Shanxi,2021/11,Commercialized Residential Buildings Sold,2634.04,29.19,283.54,0.102948438
247.67,Shanxi,2021/12,Commercialized Residential Buildings Sold,3034.92,45.9,400.88,0.114498104
,Shanxi,2022/01,Commercialized Residential Buildings Sold,,,,
11.6,Shanxi,2022/02,Commercialized Residential Buildings Sold,132.32,,,
35.63,Shanxi,2022/03,Commercialized Residential Buildings Sold,350.62,24.03,218.3,0.110077874
52.74,Shanxi,2022/04,Commercialized Residential Buildings Sold,501.88,17.11,151.26,0.113116488
70.87,Shanxi,2022/05,Commercialized Residential Buildings Sold,677.59,18.13,175.71,0.103181378
85.02,Shanxi,2022/06,Commercialized Residential Buildings Sold,954.77,14.15,277.18,0.051049859
111.67,Shanxi,2022/07,Commercialized Residential Buildings Sold,1152.6,26.65,197.83,0.134711621
129.34,Shanxi,2022/08,Commercialized Residential Buildings Sold,1336.01,17.67,183.41,0.09634153
52.69,Sichuan,2020/02,Commercialized Buildings Sold,812.51,,,
184.92,Sichuan,2020/03,Commercialized Buildings Sold,2176.39,132.23,1363.88,0.096951345
251.75,Sichuan,2020/04,Commercialized Buildings Sold,3080.59,66.83,904.2,0.073910639
325.76,Sichuan,2020/05,Commercialized Buildings Sold,4187.44,74.01,1106.85,0.066865429
463.9,Sichuan,2020/06,Commercialized Buildings Sold,5737.05,138.14,1549.61,0.089145011
531.47,Sichuan,2020/07,Commercialized Buildings Sold,6734.72,67.57,997.67,0.067727806
595.79,Sichuan,2020/08,Commercialized Buildings Sold,7740.88,64.32,1006.16,0.063926215
687.7,Sichuan,2020/09,Commercialized Buildings Sold,9168.37,91.91,1427.49,0.06438574
746.47,Sichuan,2020/10,Commercialized Buildings Sold,10222.03,58.77,1053.66,0.055777006
843.04,Sichuan,2020/11,Commercialized Buildings Sold,11400.62,96.57,1178.59,0.081936891
983.93,Sichuan,2020/12,Commercialized Buildings Sold,13257.75,140.89,1857.13,0.075864371
,Sichuan,2021/01,Commercialized Buildings Sold,,,,
124.22,Sichuan,2021/02,Commercialized Buildings Sold,1696.57,,,
236.42,Sichuan,2021/03,Commercialized Buildings Sold,3215.26,112.2,1518.69,0.073879462
295.54,Sichuan,2021/04,Commercialized Buildings Sold,4233.09,59.12,1017.83,0.058084356
362.5,Sichuan,2021/05,Commercialized Buildings Sold,5398.08,66.96,1164.99,0.057476888
469.28,Sichuan,2021/06,Commercialized Buildings Sold,7021.87,106.78,1623.79,0.065759735
518.98,Sichuan,2021/07,Commercialized Buildings Sold,7873.67,49.7,851.8,0.05834703
575.31,Sichuan,2021/08,Commercialized Buildings Sold,8844.06,56.33,970.39,0.058048826
652.64,Sichuan,2021/09,Commercialized Buildings Sold,10048.08,77.33,1204.02,0.064226508
723.19,Sichuan,2021/10,Commercialized Buildings Sold,10966.12,70.55,918.04,0.076848503
813.39,Sichuan,2021/11,Commercialized Buildings Sold,12123.72,90.2,1157.6,0.077919834
982.35,Sichuan,2021/12,Commercialized Buildings Sold,13692.91,168.96,1569.19,0.107673386
,Sichuan,2022/01,Commercialized Buildings Sold,,,,
152.84,Sichuan,2022/02,Commercialized Buildings Sold,1699.35,,,
284.88,Sichuan,2022/03,Commercialized Buildings Sold,3000.94,132.04,1301.59,0.101445156
367.34,Sichuan,2022/04,Commercialized Buildings Sold,3678.1,82.46,677.16,0.121773288
468.32,Sichuan,2022/05,Commercialized Buildings Sold,4451.43,100.98,773.33,0.130578149
555.44,Sichuan,2022/06,Commercialized Buildings Sold,5450.48,87.12,999.05,0.087202843
593.98,Sichuan,2022/07,Commercialized Buildings Sold,5944.58,38.54,494.1,0.078000405
645.62,Sichuan,2022/08,Commercialized Buildings Sold,6540.41,51.64,595.83,0.086669016
30.53,Sichuan,2020/02,Commercialized Residential Buildings Sold,710.82,,,
94.34,Sichuan,2020/03,Commercialized Residential Buildings Sold,1840.12,63.81,1129.3,0.056504029
