Province,Date,Total Sale accumulate(100 million yuan),Total Sale (100 million yuan),Building Type
Jilin,2021/11,1034.15,103.04,Commercialized Residential Buildings Sold
Jilin,2021/12,1290.99,161.98,Commercialized Buildings Sold
Jilin,2021/12,1179.29,145.14,Commercialized Residential Buildings Sold
Jilin,2022/01,,,Commercialized Buildings Sold
Jilin,2022/01,,,Commercialized Residential Buildings Sold
Jilin,2022/02,63.74,,Commercialized Buildings Sold
Jilin,2022/02,58.36,,Commercialized Residential Buildings Sold
Jilin,2022/03,80.09,16.35,Commercialized Buildings Sold
Jilin,2022/03,73.08,14.72,Commercialized Residential Buildings Sold
Jilin,2022/04,91.41,11.32,Commercialized Buildings Sold
Jilin,2022/04,83.64,10.56,Commercialized Residential Buildings Sold
Jilin,2022/05,149.59,58.18,Commercialized Buildings Sold
Jilin,2022/05,136.63,52.99,Commercialized Residential Buildings Sold
Jilin,2022/06,256.45,106.86,Commercialized Buildings Sold
Jilin,2022/06,235.02,98.39,Commercialized Residential Buildings Sold
Jilin,2022/07,355.54,99.09,Commercialized Buildings Sold
Jilin,2022/07,321.56,86.54,Commercialized Residential Buildings Sold
Jilin,2022/08,430.98,75.44,Commercialized Buildings Sold
Jilin,2022/08,389.77,68.21,Commercialized Residential Buildings Sold
Liaoning,2020/02,158.79,,Commercialized Buildings Sold
Liaoning,2020/02,147.45,,Commercialized Residential Buildings Sold
Liaoning,2020/03,364.64,205.85,Commercialized Buildings Sold
Liaoning,2020/03,340.03,192.58,Commercialized Residential Buildings Sold
Liaoning,2020/04,619.19,254.55,Commercialized Buildings Sold
Liaoning,2020/04,580.4,240.37,Commercialized Residential Buildings Sold
Liaoning,2020/05,906.56,287.37,Commercialized Buildings Sold
Liaoning,2020/05,855.27,274.87,Commercialized Residential Buildings Sold
Liaoning,2020/06,1318.33,411.77,Commercialized Buildings Sold
Liaoning,2020/06,1242.45,387.18,Commercialized Residential Buildings Sold
Liaoning,2020/07,1643.6,325.27,Commercialized Buildings Sold
Liaoning,2020/07,1544.76,302.31,Commercialized Residential Buildings Sold
Liaoning,2020/08,2005.58,361.98,Commercialized Buildings Sold
Liaoning,2020/08,1885.28,340.52,Commercialized Residential Buildings Sold
Liaoning,2020/09,2416.38,410.8,Commercialized Buildings Sold
Liaoning,2020/09,2270.2,384.92,Commercialized Residential Buildings Sold
Liaoning,2020/10,2727.62,311.24,Commercialized Buildings Sold
Liaoning,2020/10,2554.53,284.33,Commercialized Residential Buildings Sold
Liaoning,2020/11,3070.94,343.32,Commercialized Buildings Sold
Liaoning,2020/11,2854.78,300.25,Commercialized Residential Buildings Sold
Liaoning,2020/12,3366.28,295.34,Commercialized Buildings Sold
Liaoning,2020/12,3114.11,259.33,Commercialized Residential Buildings Sold
Liaoning,2021/01,,,Commercialized Buildings Sold
Liaoning,2021/01,,,Commercialized Residential Buildings Sold
Liaoning,2021/02,259.55,,Commercialized Buildings Sold
Liaoning,2021/02,241.69,,Commercialized Residential Buildings Sold
Liaoning,2021/03,573.95,314.4,Commercialized Buildings Sold
Liaoning,2021/03,543.62,301.93,Commercialized Residential Buildings Sold
Liaoning,2021/04,838.52,264.57,Commercialized Buildings Sold
Liaoning,2021/04,786.04,242.42,Commercialized Residential Buildings Sold
Liaoning,2021/05,1137.72,299.2,Commercialized Buildings Sold
Liaoning,2021/05,1071.25,285.21,Commercialized Residential Buildings Sold
Liaoning,2021/06,1593.07,455.35,Commercialized Buildings Sold
Liaoning,2021/06,1493.07,421.82,Commercialized Residential Buildings Sold
Liaoning,2021/07,1851.51,258.44,Commercialized Buildings Sold
Liaoning,2021/07,1743.63,250.56,Commercialized Residential Buildings Sold
Liaoning,2021/08,2101.36,249.85,Commercialized Buildings Sold
Liaoning,2021/08,1976.06,232.43,Commercialized Residential Buildings Sold
Liaoning,2021/09,2349.82,248.46,Commercialized Buildings Sold
Liaoning,2021/09,2203.45,227.39,Commercialized Residential Buildings Sold
Liaoning,2021/10,2569.36,219.54,Commercialized Buildings Sold
Liaoning,2021/10,2396.68,193.23,Commercialized Residential Buildings Sold
Liaoning,2021/11,2765.92,196.56,Commercialized Buildings Sold
Liaoning,2021/11,2574.06,177.38,Commercialized Residential Buildings Sold
Liaoning,2021/12,3066.38,300.46,Commercialized Buildings Sold
Liaoning,2021/12,2849.28,275.22,Commercialized Residential Buildings Sold
Liaoning,2022/01,,,Commercialized Buildings Sold
Liaoning,2022/01,,,Commercialized Residential Buildings Sold
Liaoning,2022/02,180.75,,Commercialized Buildings Sold
Liaoning,2022/02,166.76,,Commercialized Residential Buildings Sold
Liaoning,2022/03,377.98,197.23,Commercialized Buildings Sold
Liaoning,2022/03,354.47,187.71,Commercialized Residential Buildings Sold
Liaoning,2022/04,466.91,88.93,Commercialized Buildings Sold
Liaoning,2022/04,435.23,80.76,Commercialized Residential Buildings Sold
Liaoning,2022/05,618.09,151.18,Commercialized Buildings Sold
Liaoning,2022/05,574.67,139.44,Commercialized Residential Buildings Sold
Liaoning,2022/06,997.77,379.68,Commercialized Buildings Sold
Liaoning,2022/06,920.59,345.92,Commercialized Residential Buildings Sold
Liaoning,2022/07,1124.42,126.65,Commercialized Buildings Sold
Liaoning,2022/07,1036.41,115.82,Commercialized Residential Buildings Sold
Liaoning,2022/08,1253.47,129.05,Commercialized Buildings Sold
Liaoning,2022/08,1153.24,116.83,Commercialized Residential Buildings Sold
Ningxia,2020/02,24.49,,Commercialized Buildings Sold
Ningxia,2020/02,22.65,,Commercialized Residential Buildings Sold
Ningxia,2020/03,61.34,36.85,Commercialized Buildings Sold
Ningxia,2020/03,54.86,32.21,Commercialized Residential Buildings Sold
Ningxia,2020/04,119.49,58.15,Commercialized Buildings Sold
Ningxia,2020/04,103.43,48.57,Commercialized Residential Buildings Sold
Ningxia,2020/05,184,64.51,Commercialized Buildings Sold
Ningxia,2020/05,162.32,58.89,Commercialized Residential Buildings Sold
Ningxia,2020/06,260.15,76.15,Commercialized Buildings Sold
Ningxia,2020/06,231.32,69,Commercialized Residential Buildings Sold
Ningxia,2020/07,318.18,58.03,Commercialized Buildings Sold
Ningxia,2020/07,283.34,52.02,Commercialized Residential Buildings Sold
Ningxia,2020/08,396.09,77.91,Commercialized Buildings Sold
Ningxia,2020/08,356.49,73.15,Commercialized Residential Buildings Sold
Ningxia,2020/09,468.38,72.29,Commercialized Buildings Sold
Ningxia,2020/09,422.95,66.46,Commercialized Residential Buildings Sold
Ningxia,2020/10,544.44,76.06,Commercialized Buildings Sold
Ningxia,2020/10,488.7,65.75,Commercialized Residential Buildings Sold
Ningxia,2020/11,617.49,73.05,Commercialized Buildings Sold
Ningxia,2020/11,553.91,65.21,Commercialized Residential Buildings Sold
Ningxia,2020/12,698.39,80.9,Commercialized Buildings Sold
Ningxia,2020/12,626.26,72.35,Commercialized Residential Buildings Sold
Ningxia,2021/01,,,Commercialized Buildings Sold
Ningxia,2021/01,,,Commercialized Residential Buildings Sold
Ningxia,2021/02,68.53,,Commercialized Buildings Sold
Ningxia,2021/02,61.1,,Commercialized Residential Buildings Sold
Ningxia,2021/03,123.99,55.46,Commercialized Buildings Sold
Ningxia,2021/03,109.25,48.15,Commercialized Residential Buildings Sold
Ningxia,2021/04,183.84,59.85,Commercialized Buildings Sold
Ningxia,2021/04,160.4,51.15,Commercialized Residential Buildings Sold
Ningxia,2021/05,251.15,67.31,Commercialized Buildings Sold
Ningxia,2021/05,221.73,61.33,Commercialized Residential Buildings Sold
Ningxia,2021/06,325.9,74.75,Commercialized Buildings Sold
Ningxia,2021/06,292.03,70.3,Commercialized Residential Buildings Sold
Ningxia,2021/07,380.41,54.51,Commercialized Buildings Sold
Ningxia,2021/07,340.78,48.75,Commercialized Residential Buildings Sold
Ningxia,2021/08,430.7,50.29,Commercialized Buildings Sold
Ningxia,2021/08,384.41,43.63,Commercialized Residential Buildings Sold
Ningxia,2021/09,486.8,56.1,Commercialized Buildings Sold
Ningxia,2021/09,433.92,49.51,Commercialized Residential Buildings Sold
Ningxia,2021/10,550.85,64.05,Commercialized Buildings Sold
Ningxia,2021/10,481.72,47.8,Commercialized Residential Buildings Sold
Ningxia,2021/11,601.01,50.16,Commercialized Buildings Sold
Ningxia,2021/11,530.84,49.12,Commercialized Residential Buildings Sold
Ningxia,2021/12,675.13,74.12,Commercialized Buildings Sold
Ningxia,2021/12,584.93,54.09,Commercialized Residential Buildings Sold
Ningxia,2022/01,,,Commercialized Buildings Sold
Ningxia,2022/01,,,Commercialized Residential Buildings Sold
Ningxia,2022/02,55.02,,Commercialized Buildings Sold
Ningxia,2022/02,49.5,,Commercialized Residential Buildings Sold
Ningxia,2022/03,101.23,46.21,Commercialized Buildings Sold
Ningxia,2022/03,90.48,40.98,Commercialized Residential Buildings Sold
Ningxia,2022/04,133.74,32.51,Commercialized Buildings Sold
Ningxia,2022/04,118.62,28.14,Commercialized Residential Buildings Sold
Ningxia,2022/05,178.84,45.1,Commercialized Buildings Sold
Ningxia,2022/05,158,39.38,Commercialized Residential Buildings Sold
Ningxia,2022/06,247.1,68.26,Commercialized Buildings Sold
Ningxia,2022/06,218.22,60.22,Commercialized Residential Buildings Sold
Ningxia,2022/07,287.67,40.57,Commercialized Buildings Sold
Ningxia,2022/07,259.44,41.22,Commercialized Residential Buildings Sold
Ningxia,2022/08,342.81,55.14,Commercialized Buildings Sold
Ningxia,2022/08,310.15,50.71,Commercialized Residential Buildings Sold
Qinghai,2020/02,16.2,,Commercialized Buildings Sold
Qinghai,2020/02,13.79,,Commercialized Residential Buildings Sold
Qinghai,2020/03,30.45,14.25,Commercialized Buildings Sold
Qinghai,2020/03,22.99,9.2,Commercialized Residential Buildings Sold
Qinghai,2020/04,57.42,26.97,Commercialized Buildings Sold
Qinghai,2020/04,47.85,24.86,Commercialized Residential Buildings Sold
Qinghai,2020/05,97.87,40.45,Commercialized Buildings Sold
Qinghai,2020/05,85.57,37.72,Commercialized Residential Buildings Sold
Qinghai,2020/06,137.99,40.12,Commercialized Buildings Sold
Qinghai,2020/06,123.03,37.46,Commercialized Residential Buildings Sold
Qinghai,2020/07,180.83,42.84,Commercialized Buildings Sold
Qinghai,2020/07,163.27,40.24,Commercialized Residential Buildings Sold
Qinghai,2020/08,228.81,47.98,Commercialized Buildings Sold
Qinghai,2020/08,208.97,45.7,Commercialized Residential Buildings Sold
Qinghai,2020/09,277.79,48.98,Commercialized Buildings Sold
Qinghai,2020/09,251.89,42.92,Commercialized Residential Buildings Sold
Qinghai,2020/10,307.03,29.24,Commercialized Buildings Sold
Qinghai,2020/10,278.15,26.26,Commercialized Residential Buildings Sold
Qinghai,2020/11,346.05,39.02,Commercialized Buildings Sold
Qinghai,2020/11,311.12,32.97,Commercialized Residential Buildings Sold
Qinghai,2020/12,383.25,37.2,Commercialized Buildings Sold
Qinghai,2020/12,343.42,32.3,Commercialized Residential Buildings Sold
Qinghai,2021/01,,,Commercialized Buildings Sold
Qinghai,2021/01,,,Commercialized Residential Buildings Sold
Qinghai,2021/02,28.95,,Commercialized Buildings Sold
Qinghai,2021/02,23.97,,Commercialized Residential Buildings Sold
Qinghai,2021/03,40.54,11.59,Commercialized Buildings Sold
Qinghai,2021/03,35.58,11.61,Commercialized Residential Buildings Sold
Qinghai,2021/04,68.34,27.8,Commercialized Buildings Sold
Qinghai,2021/04,59.89,24.31,Commercialized Residential Buildings Sold
Qinghai,2021/05,96.87,28.53,Commercialized Buildings Sold
Qinghai,2021/05,87.31,27.42,Commercialized Residential Buildings Sold
Qinghai,2021/06,142.8,45.93,Commercialized Buildings Sold
Qinghai,2021/06,122.91,35.6,Commercialized Residential Buildings Sold
Qinghai,2021/07,163,20.2,Commercialized Buildings Sold
Qinghai,2021/07,138.37,15.46,Commercialized Residential Buildings Sold
Qinghai,2021/08,195.14,32.14,Commercialized Buildings Sold
Qinghai,2021/08,170.94,32.57,Commercialized Residential Buildings Sold
Qinghai,2021/09,218.4,23.26,Commercialized Buildings Sold
Qinghai,2021/09,192.63,21.69,Commercialized Residential Buildings Sold
Qinghai,2021/10,245.22,26.82,Commercialized Buildings Sold
Qinghai,2021/10,216.87,24.24,Commercialized Residential Buildings Sold
Qinghai,2021/11,260.85,15.63,Commercialized Buildings Sold
Qinghai,2021/11,229.35,12.48,Commercialized Residential Buildings Sold
Qinghai,2021/12,294.37,33.52,Commercialized Buildings Sold
Qinghai,2021/12,258.35,29,Commercialized Residential Buildings Sold
Qinghai,2022/01,,,Commercialized Buildings Sold
Qinghai,2022/01,,,Commercialized Residential Buildings Sold
Qinghai,2022/02,17.52,,Commercialized Buildings Sold
Qinghai,2022/02,16.15,,Commercialized Residential Buildings Sold
Qinghai,2022/03,29.41,11.89,Commercialized Buildings Sold
Qinghai,2022/03,26.7,10.55,Commercialized Residential Buildings Sold
Qinghai,2022/04,36.98,7.57,Commercialized Buildings Sold
Qinghai,2022/04,33.15,6.45,Commercialized Residential Buildings Sold
Qinghai,2022/05,54.42,17.44,Commercialized Buildings Sold
Qinghai,2022/05,49.02,15.87,Commercialized Residential Buildings Sold
Qinghai,2022/06,88.32,33.9,Commercialized Buildings Sold
Qinghai,2022/06,80.12,31.1,Commercialized Residential Buildings Sold
Qinghai,2022/07,101.36,13.04,Commercialized Buildings Sold
Qinghai,2022/07,92.08,11.96,Commercialized Residential Buildings Sold
Qinghai,2022/08,114.43,13.07,Commercialized Buildings Sold
Qinghai,2022/08,103.66,11.58,Commercialized Residential Buildings Sold
Shaanxi,2020/02,197.16,,Commercialized Buildings Sold
Shaanxi,2020/02,147.09,,Commercialized Residential Buildings Sold
Shaanxi,2020/03,468.66,271.5,Commercialized Buildings Sold
Shaanxi,2020/03,373.6,226.51,Commercialized Residential Buildings Sold
Shaanxi,2020/04,712.89,244.23,Commercialized Buildings Sold
Shaanxi,2020/04,579,205.4,Commercialized Residential Buildings Sold
Shaanxi,2020/05,1061.69,348.8,Commercialized Buildings Sold
Shaanxi,2020/05,875.62,296.62,Commercialized Residential Buildings Sold
Shaanxi,2020/06,1658.94,597.25,Commercialized Buildings Sold
Shaanxi,2020/06,1388.85,513.23,Commercialized Residential Buildings Sold
Shaanxi,2020/07,1955.1,296.16,Commercialized Buildings Sold
Shaanxi,2020/07,1654.62,265.77,Commercialized Residential Buildings Sold
Shaanxi,2020/08,2357.88,402.78,Commercialized Buildings Sold
Shaanxi,2020/08,2013.1,358.48,Commercialized Residential Buildings Sold
Shaanxi,2020/09,2909.85,551.97,Commercialized Buildings Sold
Shaanxi,2020/09,2481.62,468.52,Commercialized Residential Buildings Sold
Shaanxi,2020/10,3235.59,325.74,Commercialized Buildings Sold
Shaanxi,2020/10,2776.55,294.93,Commercialized Residential Buildings Sold
Shaanxi,2020/11,3766.87,531.28,Commercialized Buildings Sold
Shaanxi,2020/11,3235.82,459.27,Commercialized Residential Buildings Sold
Shaanxi,2020/12,4375.33,608.46,Commercialized Buildings Sold
Shaanxi,2020/12,3755.77,519.95,Commercialized Residential Buildings Sold
Shaanxi,2021/01,,,Commercialized Buildings Sold
Shaanxi,2021/01,,,Commercialized Residential Buildings Sold
Shaanxi,2021/02,340.39,,Commercialized Buildings Sold
Shaanxi,2021/02,301.62,,Commercialized Residential Buildings Sold
Shaanxi,2021/03,731.93,391.54,Commercialized Buildings Sold
Shaanxi,2021/03,621.99,320.37,Commercialized Residential Buildings Sold
Shaanxi,2021/04,931.75,199.82,Commercialized Buildings Sold
Shaanxi,2021/04,799.18,177.19,Commercialized Residential Buildings Sold
Shaanxi,2021/05,1253.14,321.39,Commercialized Buildings Sold
Shaanxi,2021/05,1102.72,303.54,Commercialized Residential Buildings Sold
Shaanxi,2021/06,1714.49,461.35,Commercialized Buildings Sold
Shaanxi,2021/06,1526.49,423.77,Commercialized Residential Buildings Sold
Shaanxi,2021/07,2031.52,317.03,Commercialized Buildings Sold
Shaanxi,2021/07,1813.64,287.15,Commercialized Residential Buildings Sold
Shaanxi,2021/08,2424.25,392.73,Commercialized Buildings Sold
Shaanxi,2021/08,2156.94,343.3,Commercialized Residential Buildings Sold
Shaanxi,2021/09,2752.48,328.23,Commercialized Buildings Sold
Shaanxi,2021/09,2461.39,304.45,Commercialized Residential Buildings Sold
Shaanxi,2021/10,3024.62,272.14,Commercialized Buildings Sold
Shaanxi,2021/10,2704.42,243.03,Commercialized Residential Buildings Sold
Shaanxi,2021/11,3752.31,727.69,Commercialized Buildings Sold
Shaanxi,2021/11,3395.18,690.76,Commercialized Residential Buildings Sold
Shaanxi,2021/12,4146.26,393.95,Commercialized Buildings Sold
Shaanxi,2021/12,3762.14,366.96,Commercialized Residential Buildings Sold
Shaanxi,2022/01,,,Commercialized Buildings Sold
Shaanxi,2022/01,,,Commercialized Residential Buildings Sold
Shaanxi,2022/02,323.4,,Commercialized Buildings Sold
Shaanxi,2022/02,301.72,,Commercialized Residential Buildings Sold
Shaanxi,2022/03,666.78,343.38,Commercialized Buildings Sold
Shaanxi,2022/03,591.08,289.36,Commercialized Residential Buildings Sold
Shaanxi,2022/04,815.68,148.9,Commercialized Buildings Sold
Shaanxi,2022/04,726.6,135.52,Commercialized Residential Buildings Sold
Shaanxi,2022/05,1036.39,220.71,Commercialized Buildings Sold
Shaanxi,2022/05,920.03,193.43,Commercialized Residential Buildings Sold
Shaanxi,2022/06,1460.19,423.8,Commercialized Buildings Sold
Shaanxi,2022/06,1304.98,384.95,Commercialized Residential Buildings Sold
Shaanxi,2022/07,1660.12,199.93,Commercialized Buildings Sold
Shaanxi,2022/07,1490.62,185.64,Commercialized Residential Buildings Sold
Shaanxi,2022/08,1953.95,293.83,Commercialized Buildings Sold
Shaanxi,2022/08,1744.52,253.9,Commercialized Residential Buildings Sold
Shandong,2020/02,460.09,,Commercialized Buildings Sold
Shandong,2020/02,412.69,,Commercialized Residential Buildings Sold
Shandong,2020/03,1237.44,777.35,Commercialized Buildings Sold
Shandong,2020/03,1117.25,704.56,Commercialized Residential Buildings Sold
Shandong,2020/04,2034.6,797.16,Commercialized Buildings Sold
Shandong,2020/04,1862.33,745.08,Commercialized Residential Buildings Sold
Shandong,2020/05,2997.74,963.14,Commercialized Buildings Sold
Shandong,2020/05,2745.29,882.96,Commercialized Residential Buildings Sold
Shandong,2020/06,4313.22,1315.48,Commercialized Buildings Sold
Shandong,2020/06,3942.85,1197.56,Commercialized Residential Buildings Sold
Shandong,2020/07,5250.13,936.91,Commercialized Buildings Sold
Shandong,2020/07,4814.47,871.62,Commercialized Residential Buildings Sold
Shandong,2020/08,6231.66,981.53,Commercialized Buildings Sold
Shandong,2020/08,5734.41,919.94,Commercialized Residential Buildings Sold
Shandong,2020/09,7456.75,1225.09,Commercialized Buildings Sold
Shandong,2020/09,6860.73,1126.32,Commercialized Residential Buildings Sold
Shandong,2020/10,8474.4,1017.65,Commercialized Buildings Sold
Shandong,2020/10,7799.06,938.33,Commercialized Residential Buildings Sold
Shandong,2020/11,9522.63,1048.23,Commercialized Buildings Sold
Shandong,2020/11,8749.67,950.61,Commercialized Residential Buildings Sold
Shandong,2020/12,11065.62,1542.99,Commercialized Buildings Sold
Shandong,2020/12,10109.55,1359.88,Commercialized Residential Buildings Sold
Shandong,2021/01,,,Commercialized Buildings Sold
Shandong,2021/01,,,Commercialized Residential Buildings Sold
Shandong,2021/02,850.83,,Commercialized Buildings Sold
Shandong,2021/02,789.34,,Commercialized Residential Buildings Sold
Shandong,2021/03,2137.09,1286.26,Commercialized Buildings Sold
Shandong,2021/03,1985.19,1195.85,Commercialized Residential Buildings Sold
Shandong,2021/04,3209.38,1072.29,Commercialized Buildings Sold
Shandong,2021/04,2997.38,1012.19,Commercialized Residential Buildings Sold
Shandong,2021/05,4348.57,1139.19,Commercialized Buildings Sold
Shandong,2021/05,4062.73,1065.35,Commercialized Residential Buildings Sold
Shandong,2021/06,5995.33,1646.76,Commercialized Buildings Sold
Shandong,2021/06,5547.42,1484.69,Commercialized Residential Buildings Sold
Shandong,2021/07,6957.48,962.15,Commercialized Buildings Sold
Shandong,2021/07,6435.38,887.96,Commercialized Residential Buildings Sold
Shandong,2021/08,7913.5,956.02,Commercialized Buildings Sold
Shandong,2021/08,7317.2,881.82,Commercialized Residential Buildings Sold
Shandong,2021/09,9202.37,1288.87,Commercialized Buildings Sold
Shandong,2021/09,8466.63,1149.43,Commercialized Residential Buildings Sold
Shandong,2021/10,9952.1,749.73,Commercialized Buildings Sold
Shandong,2021/10,9142.83,676.2,Commercialized Residential Buildings Sold
Shandong,2021/11,10851.52,899.42,Commercialized Buildings Sold
Shandong,2021/11,9938.95,796.12,Commercialized Residential Buildings Sold
Shandong,2021/12,12155.62,1304.1,Commercialized Buildings Sold
Shandong,2021/12,11044.14,1105.19,Commercialized Residential Buildings Sold
Shandong,2022/01,,,Commercialized Buildings Sold
Shandong,2022/01,,,Commercialized Residential Buildings Sold
Shandong,2022/02,889.78,,Commercialized Buildings Sold
Shandong,2022/02,803.86,,Commercialized Residential Buildings Sold
Shandong,2022/03,1946.44,1056.66,Commercialized Buildings Sold
Shandong,2022/03,1720.67,916.81,Commercialized Residential Buildings Sold
Shandong,2022/04,2569.73,623.29,Commercialized Buildings Sold
Shandong,2022/04,2261.44,540.77,Commercialized Residential Buildings Sold
Shandong,2022/05,3471.42,901.69,Commercialized Buildings Sold
Shandong,2022/05,3028.1,766.66,Commercialized Residential Buildings Sold
Shandong,2022/06,4889.56,1418.14,Commercialized Buildings Sold
Shandong,2022/06,4218.69,1190.59,Commercialized Residential Buildings Sold
Shandong,2022/07,5605.47,715.91,Commercialized Buildings Sold
Shandong,2022/07,4850.69,632,Commercialized Residential Buildings Sold
Shandong,2022/08,6339.56,734.09,Commercialized Buildings Sold
Shandong,2022/08,5524.24,673.55,Commercialized Residential Buildings Sold
Shanghai,2020/02,330.65,,Commercialized Buildings Sold
Shanghai,2020/02,294.18,,Commercialized Residential Buildings Sold
Shanghai,2020/03,598.41,267.76,Commercialized Buildings Sold
Shanghai,2020/03,541.77,247.59,Commercialized Residential Buildings Sold
Shanghai,2020/04,977.66,379.25,Commercialized Buildings Sold
Shanghai,2020/04,882.86,341.09,Commercialized Residential Buildings Sold
Shanghai,2020/05,1457.89,480.23,Commercialized Buildings Sold
Shanghai,2020/05,1344.59,461.73,Commercialized Residential Buildings Sold
Shanghai,2020/06,2195.77,737.88,Commercialized Buildings Sold
Shanghai,2020/06,1981.86,637.27,Commercialized Residential Buildings Sold
Shanghai,2020/07,2620.27,424.5,Commercialized Buildings Sold
Shanghai,2020/07,2358.65,376.79,Commercialized Residential Buildings Sold
Shanghai,2020/08,3248.66,628.39,Commercialized Buildings Sold
Shanghai,2020/08,2864.66,506.01,Commercialized Residential Buildings Sold
Shanghai,2020/09,4152.64,903.98,Commercialized Buildings Sold
Shanghai,2020/09,3612.21,747.55,Commercialized Residential Buildings Sold
Shanghai,2020/10,4865.03,712.39,Commercialized Buildings Sold
Shanghai,2020/10,4286.46,674.25,Commercialized Residential Buildings Sold
Shanghai,2020/11,5401.08,536.05,Commercialized Buildings Sold
Shanghai,2020/11,4798.93,512.47,Commercialized Residential Buildings Sold
Shanghai,2020/12,6046.97,645.89,Commercialized Buildings Sold
Shanghai,2020/12,5268.85,469.92,Commercialized Residential Buildings Sold
Shanghai,2021/01,,,Commercialized Buildings Sold
Shanghai,2021/01,,,Commercialized Residential Buildings Sold
Shanghai,2021/02,1163.45,,Commercialized Buildings Sold
Shanghai,2021/02,1093.67,,Commercialized Residential Buildings Sold
Shanghai,2021/03,1696.96,533.51,Commercialized Buildings Sold
Shanghai,2021/03,1557.05,463.38,Commercialized Residential Buildings Sold
Shanghai,2021/04,2033.2,336.24,Commercialized Buildings Sold
Shanghai,2021/04,1856.78,299.73,Commercialized Residential Buildings Sold
Shanghai,2021/05,2423.83,390.63,Commercialized Buildings Sold
Shanghai,2021/05,2201.04,344.26,Commercialized Residential Buildings Sold
Shanghai,2021/06,3249.3,825.47,Commercialized Buildings Sold
Shanghai,2021/06,2984.44,783.4,Commercialized Residential Buildings Sold
Shanghai,2021/07,3832.12,582.82,Commercialized Buildings Sold
Shanghai,2021/07,3475.09,490.65,Commercialized Residential Buildings Sold
Shanghai,2021/08,4347.51,515.39,Commercialized Buildings Sold
Shanghai,2021/08,3953.01,477.92,Commercialized Residential Buildings Sold
Shanghai,2021/09,4866.31,518.8,Commercialized Buildings Sold
Shanghai,2021/09,4446.04,493.03,Commercialized Residential Buildings Sold
Shanghai,2021/10,5416,549.69,Commercialized Buildings Sold
Shanghai,2021/10,4851.98,405.94,Commercialized Residential Buildings Sold
Shanghai,2021/11,5906.3,490.3,Commercialized Buildings Sold
Shanghai,2021/11,5297.14,445.16,Commercialized Residential Buildings Sold
Shanghai,2021/12,6788.73,882.43,Commercialized Buildings Sold
Shanghai,2021/12,6104.95,807.81,Commercialized Residential Buildings Sold
Shanghai,2022/01,,,Commercialized Buildings Sold
Shanghai,2022/01,,,Commercialized Residential Buildings Sold
Shanghai,2022/02,1133.24,,Commercialized Buildings Sold
Shanghai,2022/02,1070.85,,Commercialized Residential Buildings Sold
Shanghai,2022/03,1648.46,515.22,Commercialized Buildings Sold
Shanghai,2022/03,1529.57,458.72,Commercialized Residential Buildings Sold
Shanghai,2022/04,1733.99,85.53,Commercialized Buildings Sold
Shanghai,2022/04,1614.6,85.03,Commercialized Residential Buildings Sold
Shanghai,2022/05,1932.27,198.28,Commercialized Buildings Sold
Shanghai,2022/05,1719.41,104.81,Commercialized Residential Buildings Sold
Shanghai,2022/06,2750.32,818.05,Commercialized Buildings Sold
Shanghai,2022/06,2512.68,793.27,Commercialized Residential Buildings Sold
Shanghai,2022/07,3614.44,864.12,Commercialized Buildings Sold
Shanghai,2022/07,3349.61,836.93,Commercialized Residential Buildings Sold
Shanghai,2022/08,4423.62,809.18,Commercialized Buildings Sold
Shanghai,2022/08,4073.73,724.12,Commercialized Residential Buildings Sold
Shanxi,2020/02,48.05,,Commercialized Buildings Sold
Shanxi,2020/02,44.51,,Commercialized Residential Buildings Sold
Shanxi,2020/03,184.04,135.99,Commercialized Buildings Sold
Shanxi,2020/03,171.92,127.41,Commercialized Residential Buildings Sold
Shanxi,2020/04,289.8,105.76,Commercialized Buildings Sold
Shanxi,2020/04,270.68,98.76,Commercialized Residential Buildings Sold
Shanxi,2020/05,433.15,143.35,Commercialized Buildings Sold
Shanxi,2020/05,405.77,135.09,Commercialized Residential Buildings Sold
Shanxi,2020/06,635.94,202.79,Commercialized Buildings Sold
Shanxi,2020/06,594.21,188.44,Commercialized Residential Buildings Sold
Shanxi,2020/07,784.53,148.59,Commercialized Buildings Sold
Shanxi,2020/07,733.49,139.28,Commercialized Residential Buildings Sold
Shanxi,2020/08,939,154.47,Commercialized Buildings Sold
Shanxi,2020/08,878.91,145.42,Commercialized Residential Buildings Sold
Shanxi,2020/09,1121.87,182.87,Commercialized Buildings Sold
Shanxi,2020/09,1052.35,173.44,Commercialized Residential Buildings Sold
Shanxi,2020/10,1340.02,218.15,Commercialized Buildings Sold
Shanxi,2020/10,1248.74,196.39,Commercialized Residential Buildings Sold
Shanxi,2020/11,1580.23,240.21,Commercialized Buildings Sold
Shanxi,2020/11,1475.67,226.93,Commercialized Residential Buildings Sold
Shanxi,2020/12,1885.94,305.71,Commercialized Buildings Sold
Shanxi,2020/12,1753.36,277.69,Commercialized Residential Buildings Sold
Shanxi,2021/01,,,Commercialized Buildings Sold
Shanxi,2021/01,,,Commercialized Residential Buildings Sold
Shanxi,2021/02,101.52,,Commercialized Buildings Sold
Shanxi,2021/02,94.07,,Commercialized Residential Buildings Sold
Shanxi,2021/03,312.08,210.56,Commercialized Buildings Sold
Shanxi,2021/03,292.27,198.2,Commercialized Residential Buildings Sold
Shanxi,2021/04,507.1,195.02,Commercialized Buildings Sold
